"Program","CardName","Issuer","Link","IntroOffer","Cash","Points","Nights","Credit","FeeWaived1stYr","Fee","Spend","img","Rate","Value"
"AeroMexico","AeroMexico Visa Card","US","https://www.usbank.com/credit-cards/aeromexico-visa-credit-card.html?ics_src=19649","Receive 15,000 bonus miles after your first card use.1",0,15000,0,0,1,45,0,"https://www.usbank.com//images/credit-card/aeromexico_plat_110_70.png?6-15",0.01,150
"AeroMexico","AeroMexico Visa Secured Card","US","https://www.usbank.com/credit-cards/aeromexico-visa-secured-credit-card.html?ics_src=19649","Receive 5,000 bonus miles after your first card use.2",0,5000,0,0,1,25,0,"https://www.usbank.com//images/credit-card/aeromexico_plat_110_70.png?6-15",0.01,50
"AeroMexico","AeroMexico Visa Signature Card","US","https://www.usbank.com/credit-cards/aeromexico-visa-signature-credit-card.html?ics_src=19649","Receive 20,000 bonus miles after your first card use.1",0,20000,0,0,1,80,0,"https://www.usbank.com//images/credit-card/aeromexico_sig_110_70.png?6-15",0.01,200
"Alaska","Alaska Airlines Visa Signature","BOA","https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/","30,000 bonus miles offer",0,30000,0,0,0,75,1000,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/1bbt_sigcm_v_mileageplan_250x158.png",0.018,465
"Allegiant","Allegiant World Mastercard","BOA","https://www.bankofamerica.com/credit-cards/products/allegiant-world-credit-card/","15,000 bonus points offer",0,15000,0,0,0,59,1000,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/ragp_wldcm_mc_250x158.png",0.01,91
"American","Citi AAdvantage Platinum Select World Elite Mastercard","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-aadvantage-platinum-elite-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-aadvantage-platinum-elite-credit-card~4XSX1F8751C2L10202W","Don't pass this up - apply today Earn 60,000 American Airlines AAdvantageÂ® bonus miles after making $3,000 in purchases within the first 3 months of account opening.2 Annual Fee: $95 (Fee waived for the first 12 months)1",0,60000,0,0,1,95,3000,"https://www.citi.com/CRD/images/card_no_reflection/citi-aadvantage-platinum-elite-credit-card.jpg",0.015,900
"American","AAdvantage Aviator Red World Elite Mastercard","Barclay","https://home.barclaycardus.com/cards/aadvantage-aviator-red-world-elite-mastercard.html","Earn 50,000 American Airlines AAdvantage® bonus miles",0,50000,0,0,0,95,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/AAFlat-Card.png",0.015,655
"American","Citi AAdvantage Gold World Elite Mastercard","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-aadvantage-gold-elite-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~4XRW12V731C2111111W","Earn 25,000 American Airlines AAdvantageÂ® bonus miles after making $750 in purchases within the first 3 months of account opening2. Enjoy our lowest intro APR on purchases and balance transfers. Annual Fee: $50 (Fee waived for the first 12 months)1",0,25000,0,0,1,50,750,"https://www.citi.com/CRD/images/card_no_reflection/citi-aadvantage-gold-elite-credit-card.jpg",0.015,375
"American","Citi AAdvantage Executive World Elite Mastercard","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-aadvantage-executive-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~4XEB1K6731C2111111W","Donâ<U+0080><U+0099>t pass this offer up â<U+0080><U+0093> apply today Earn 50,000 American Airlines AAdvantageÂ® bonus miles after making $5,000 in purchases within the first 3 months of account opening.2 Plus, Admirals ClubÂ® membership. Annual Fee: $4501",0,50000,0,0,0,450,5000,"https://www.citi.com/CRD/images/card_no_reflection/citi-aadvantage-executive-credit-card.jpg",0.015,300
"American","CitiBusiness AAdvantage Platinum Select World Mastercard","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citibusiness-aadvantage-platinum-select-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~6HXZELK751C2L00101W","Earn 60,000 American Airlines AAdvantageÂ® bonus miles after spending $3,000 in purchases within the first 3 months of account opening. Annual Fee $95 (Fee waived for the first 12 months)1",0,60000,0,0,1,95,3000,"https://www.citi.com/CRD/images/card_no_reflection/citibusiness-aadvantage-platinum-select-credit-card.jpg",0.015,900
"American Express Membership Rewards","Amex EveryDay Credit Card","Amex","https://www.americanexpress.com/us/credit-cards/card/amex-everyday/","Earn 10,000Membership Rewards® pointsafter you use your new Card to make $1,000 in purchases in your first 3 months.†",0,10000,0,0,0,0,1000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/amex-everyday.png",0.019,190
"American Express Membership Rewards","Premier Rewards Gold Card from American Express","Amex","https://www.americanexpress.com/us/credit-cards/card/premier-rewards-gold/","Earn 25,000 Points†after you spend $2,000 on purchases on your new Card in your first 3 months of Card Membership.†",0,25000,0,100,1,195,2000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/premier-rewards-gold.png",0.019,575
"American Express Membership Rewards","The Platinum Card from American Express","Amex","https://www.americanexpress.com/us/credit-cards/card/platinum/","NEW WELCOME OFFEREarn 60,000 Membership Rewards® Pointsafter you use your new Card to make $5,000 in purchases in your first 3 months.†",0,60000,0,200,0,0,5000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/platinum-card.png",0.019,1340
"American Express Membership Rewards","The Mercedes Benz Credit Card from American Express","Amex","https://www.americanexpress.com/us/credit-cards/card/mercedes-benz/","10,000Membership Rewards® Points†Earn 10,000 Membership Rewards® points after you use your new Card to make $1,000 in purchases within the first 3 months.†",0,10000,0,0,0,95,1000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/mercedes-benz.png",0.019,95
"American Express Membership Rewards","Plenti Credit Card from Amex","Amex","https://www.americanexpress.com/us/credit-cards/card/plenti/","Earn 5,000 Plenti® Pointsafter you spend $250 in purchases on your Plenti® Credit Card from Amex within your first 3 months of Card Membership.†",0,5000,0,0,0,0,250,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/plenti-card.png",0.019,95
"American Express Membership Rewards","Gold Card from American Express","Amex","https://www.americanexpress.com/us/credit-cards/card/gold/","Get 2X Points2X points for flights booked directly with airlines and at US restaurants.1X points on other purchases.Terms and limitations apply.‡",0,0,0,0,1,160,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/gold-card.png",0.019,0
"American Express Membership Rewards","Blue from American Express Card","Amex","https://www.americanexpress.com/us/credit-cards/card/blue/","Earn Rewards with No Annual Fee",0,0,0,0,0,0,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/blue.png",0.019,0
"American Express Membership Rewards","Blue Cash Preferred Card from American Express","Amex","https://www.americanexpress.com/us/credit-cards/card/blue-cash-preferred/","Earn $150 Backafter you spend $1,000 in purchases on your new Card in your first 3 months. You will receive the $150 back in the form of a statement credit.†",0,0,0,0,0,95,1000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/blue-cash-preferred.png",0.019,-95
"American Express Membership Rewards","Blue Sky from American Express Card","Amex","https://www.americanexpress.com/us/credit-cards/card/blue-sky/","Flexible Travel Rewardsand no annual fee.‡¤",0,0,0,0,0,0,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/blue-sky.png",0.019,0
"American Express Membership Rewards","The Business Platinum Card","Amex","https://www.americanexpress.com/us/small-business/credit-cards/business-platinum-card/44281?linknav=us-acq-open-aj-allcards-platinumcard-lm","Welcome OfferEarn up to 75,000 Membership Rewards® pointsEarn 50,000 Membership Rewards® points after you spend $10,000 and an extra 25,000 points after you spend an additional $10,000 all on qualifying purchases on the Business Platinum Card within your first 3 months of Card Membership.†",0,75000,0,0,0,450,10000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-92.png?version=8",0.019,975
"American Express Membership Rewards","SimplyCash Plus Business Credit Card","Amex","https://www.americanexpress.com/us/small-business/credit-cards/simply-cash-plus-business-credit-card/44281?linknav=us-acq-open-aj-allcards-simplycashplus-lm","Earn cash back on the category of your choice and pay no annual fee.‡",0,0,0,0,0,0,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-1043.png?version=8",0.019,0
"American Express Membership Rewards","The Business Gold Rewards Card","Amex","https://www.americanexpress.com/us/small-business/credit-cards/american-express-gold-business-card/44281?linknav=us-acq-open-aj-allcards-goldcardfromopen-lm","Earn 50,000 Membership Rewards® points after you spend $5,000 in qualifying purchases on the Card within your first 3 months of Card Membership.†",0,50000,0,0,1,175,5000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-111.png?version=8",0.019,950
"American Express Membership Rewards","Lowe's Business Rewards Card from American Express","Amex","https://www.americanexpress.com/us/small-business/credit-cards/lowes-business-rewards-credit-card/44281?linknav=us-acq-open-aj-allcards-lowes-lm","Get the Card that rewards you with Lowe’s Business Rewards points on everyday expenses.‡Plus, get 5% off Every Day from Lowe’s on eligible Lowe’s purchases.‡",0,0,0,0,0,0,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-251.png?version=8",0.019,0
"American Express Membership Rewards","The Plum Card","Amex","https://www.americanexpress.com/us/small-business/credit-cards/american-express-plum-card/44281?linknav=us-acq-open-aj-allcards-plum-lm","PAY EARLYGET A1.5%DISCOUNTWITH NO CAP ‡PAY LATERTAKE UP TO60DAYS TO PAY WITHNO INTEREST ‡",0,0,0,0,1,250,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-499.png?version=8",0.019,0
"American Express Membership Rewards","Blue Business Plus Credit Card","Amex","https://www.americanexpress.com/us/small-business/credit-cards/american-express-blue-for-business-credit-card/44281?linknav=us-acq-open-aj-allcards-blueforbusiness-lm","Earn points fast with 2x points on the first $50,000 in annual purchases and no category restrictions, all without an annual fee.‡",0,0,0,0,0,0,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-1110.png?version=8",0.019,0
"American Express Membership Rewards","Blue Cash Card from American Express","Amex","https://www.americanexpress.com/us/credit-cards/card/blue-cash/","Enjoy Cash Back Rewards‡",0,0,0,0,0,0,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/blue-cash.png",0.019,0
"American Express Membership Rewards","American Express Green Card","Amex","https://www.americanexpress.com/us/credit-cards/card/green/","Start Your Journey with GreenEarn 2x Membership Rewards points for each dollar you spend on eligible purchases at amextravel.com.Earn 1x points on every eligible dollar you spend. Terms and limitations apply‡",0,0,0,0,1,95,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/green-card.png",0.019,0
"American Express Membership Rewards","Amex EveryDay Preferred Credit Card","Amex","https://www.americanexpress.com/us/credit-cards/card/amex-everyday-preferred/","Earn 15,000Membership Rewards® Pointsafter you use your new Card to make $1,000 on purchases on your new Card in your first 3 months.†",0,15000,0,0,0,95,1000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/amex-everyday-preferred.png",0.019,190
"American Express Membership Rewards","Business Green Rewards Card","Amex","https://www.americanexpress.com/us/small-business/credit-cards/american-express-green-business-card/44281?linknav=us-acq-open-aj-allcards-greenrewards-lm","Earn 5,000 Membership Rewards® points after your first purchase on the Card.†",0,5000,0,0,1,95,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-89.png?version=8",0.019,95
"Amtrak","Amtrak Guest Rewards World Mastercard","BOA","https://www.bankofamerica.com/credit-cards/products/amtrak-guest-rewards-credit-card/","20,000 bonus points offer",0,20000,0,0,0,79,1000,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/ragm_nrwwldcm_mc_250x158.png",0.025,421
"Asiana","Asiana Visa Signature","BOA","https://www.bankofamerica.com/credit-cards/products/asiana-airlines-credit-card/","30,000 bonus miles offer",0,30000,0,0,0,99,3000,"https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/1bbu_sigcm_v_250x158.png",0.01,201
"Barclaycard Arrival","Barclaycard Arrival World MasterCard","Barclay","https://home.barclaycardus.com/cards/barclaycard-arrival-world-mastercard.html","Earn 20,000 bonus miles",0,20000,0,0,0,0,1000,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/bcus-arrival1.png",0.01,200
"Barclaycard Arrival","Barclaycard CashForward World Mastercard","Barclay","https://home.barclaycardus.com/cards/barclaycard-cashforward.html","Get a $200 cash rewards bonus with qualifying transactions",200,0,0,0,0,0,1000,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/cashforward1.png",0.01,200
"Barclaycard Arrival","Barclaycard Arrival Plus World Elite MasterCard","Barclay","https://home.barclaycardus.com/cards/barclaycard-arrival-plus-world-elite-mastercard.html","Earn 50,000 bonus miles after spending $3,000 on purchases in the first 90 days",0,50000,0,0,1,89,3000,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/bcus-arrival-plus1.png",0.01,500
"Barclaycard Arrival","L L Bean Visa Card","Barclay","https://home.barclaycardus.com/cards/llbean-visa-card.html","0",0,0,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/llbean1.png",0.01,0
"Barclaycard Arrival","Barclaycard Visa with Apple Rewards","Barclay","https://home.barclaycardus.com/cards/barclaycard-visa-apple-rewards.html","0",0,0,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/apple1_ns.png",0.01,0
"Barclaycard Arrival","Barnes & Noble Mastercard","Barclay","https://home.barclaycardus.com/cards/barnes-noble-mastercard.html","0",0,0,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/bn1.png",0.01,0
"Barclaycard Arrival","Barclaycard Ring MasterCard","Barclay","https://home.barclaycardus.com/cards/barclaycard-ring-mastercard.html","0",0,0,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/bcus-ring1.png",0.01,0
"Barclaycard Arrival","RCI Elite Rewards MasterCard","Barclay","https://home.barclaycardus.com/cards/rci-elite-rewards-mastercard.html","2,500 bonus rewards after your first purchase",0,2500,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/rci1.png",0.01,25
"Barclaycard Arrival","NFL Extra Points Credit Card","Barclay","https://home.barclaycardus.com/cards/nfl-extra-points-credit-card.html","Earn 10,000 bonus points",0,10000,0,0,0,0,500,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/nfl1.png",0.01,100
"Barclaycard Arrival","Priceline Rewards Visa Card","Barclay","https://home.barclaycardus.com/cards/priceline-rewards-visa-card.html","5,000 bonus points after first purchase",0,0,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/priceline1.png",0.01,0
"Barclaycard Arrival","Commence Mastercard","Barclay","https://home.barclaycardus.com/cards/commence-mastercard.html","25% student loan redemption bonus when you redeem into ANY student loan account",0,0,0,0,0,0,0,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/commence-card-flat.png",0.01,0
