"Program","CardName","Issuer","Link","IntroOffer","Cash","Points","Nights","Credit","FeeWaived1stYr","Fee","Spend","img","Rate","Value"
"Chase Ultimate Rewards","Ink Business Cash","Chase","https://creditcards.chase.com/credit-cards/small-business/ink-cash?iCELL=61FY"," $300 bonus cash back after you spend $3,000 on purchases in the first 3 months after account opening. ",300,0,0,0,0,0,3000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/ink_cash_card.png",0.021,300
"Chase Ultimate Rewards","Disney Rewards Visa Card","Chase","https://creditcards.chase.com/credit-cards/disney-rewards?iCELL=61FY"," $50 Disney Gift Card after first purchase with the credit card. ",50,0,0,0,0,0,0,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/disney_card.png",0.021,50
"Chase Ultimate Rewards","Chase Freedom Unlimited","Chase","https://creditcards.chase.com/credit-cards/chase-freedom-unlimited?iCELL=61FY"," $150 bonus after you spend $500 on purchases in the first 3 months from account opening. ",150,0,0,0,0,0,500,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/freedom_unlimited_card.png",0.021,150
"Chase Ultimate Rewards","Chase Freedom","Chase","https://creditcards.chase.com/credit-cards/chase-freedom?iCELL=61FY"," $150 bonus after you spend $500 on purchases in the first 3 months from account opening. ",150,0,0,0,0,0,500,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/freedom_card.png",0.021,150
"Chase Ultimate Rewards","Disney Premier Visa Card","Chase","https://creditcards.chase.com/credit-cards/disney-premier?iCELL=61FY"," $200 Disney Gift Card after you spend $500 on purchases in the first 3 months from account opening. ",200,0,0,0,0,49,500,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/disney_premier_card.png",0.021,151
"Chase Ultimate Rewards","Ink Business Preferred","Chase","https://creditcards.chase.com/credit-cards/small-business/ink-business-preferred?iCELL=61FY"," 80,000 bonus points after you spend $5,000 on purchases in the first 3 months after account opening. That's $1,000 toward travel rewards when you redeem through Chase Ultimate Rewards®. ",0,80000,0,0,0,95,5000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/ink_preferred_card.png",0.021,1585
"Chase Ultimate Rewards","Chase Sapphire Preferred","Chase","https://creditcards.chase.com/credit-cards/chase-sapphire-preferred?iCELL=61FY"," 50,000 bonus points after you spend $4,000 on purchases in the first 3 months from account opening. That's $625 toward travel when redeemed through Chase Ultimate Rewards®. ",0,50000,0,0,1,95,4000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/sapphire_preferred_card.png",0.021,1050
"Chase Ultimate Rewards","Chase Sapphire Reserve","Chase","https://creditcards.chase.com/credit-cards/chase-sapphire-reserve?iCELL=61FY"," 50,000 bonus points after you spend $4,000 on purchases in the first 3 months from account opening. ",0,50000,0,300,0,450,4000,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/sapphire_reserve_card.png",0.021,900
"Chase Ultimate Rewards","Chase Slate","Chase","https://creditcards.chase.com/credit-cards/chase-slate?iCELL=61FY"," Intro balance transfer offer Pay no balance transfer fee when you transfer a balance during the first 60 days your account is open.† After the first 60 days your account is open, the fee for future balance transfers is 5% of the amount transferred, with a minimum of $5.† ",0,0,0,0,0,0,0,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/slate_card.png",0.021,0
"Chase Ultimate Rewards","AARP Credit Card from Chase","Chase","https://creditcards.chase.com/credit-cards/aarp?iCELL=61FY"," $100 Bonus Cash Back after you spend $500 on purchases in the first 3 months. ",100,0,0,0,0,0,500,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/aarp_card.png",0.021,100
"Chase Ultimate Rewards","Amazon Rewards Visa Signature Card","Chase","https://creditcards.chase.com/credit-cards/amazon-rewards?iCELL=61FY"," $50 Amazon.com Gift Card will be instantly loaded into your Amazon.com account upon the approval of your credit card application. ",0,0,0,0,0,0,0,"https://creditcards.chase.com/R-Marketplace/1110008/images/cardart/amazon_card.png",0.021,0
"Choice Privileges","Choice Privileges Visa Signature Card","Barclay","https://home.barclaycardus.com/cards/choice-privileges-visa-signature-card.html","32,000 bonus points after you spend $1,000 in purchases in the first 90 days  $0 annual fee",0,32000,0,0,0,0,1000,"https://home.barclaycardus.com/content/dam/bcuspublic/card-plastic/card-front/choice1.png",0.006,192
"Citi ThankYou Points","Citi ThankYou Premier Card","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-thankyou-premier-credit-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~citi-thankyou-premier-credit-card~4MMZ5SR731C2L10202W","Earn 30,000 bonus ThankYouÂ® Points after you spend $3,000 in purchases with your card within the first 3 months of account opening.2 Earn 3X on Travel including Gas2 Earn 2X on Dining Out and Entertainment2 Earn 1X on Everything else2 Annual Fee $95 (Fee waived for the first 12 months)1",0,30000,0,0,1,95,3000,"https://www.citi.com/CRD/images/card_no_reflection/citi-thankyou-premier-credit-card.jpg",0.016,480
"Citi ThankYou Points","Citi ThankYou Preferred Card","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=citi-thankyou-credit-card-preferred-card&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~CMSDefaultOffer~1NMFFPK721C2L00101W","Earn 15,000 bonus points aftermaking $1,000 in purchases within 3 months of account opening2 Earn 2X on Dining Out and Entertainment2Earn 1X on Everything else2",0,15000,0,0,0,0,1000,"https://www.citi.com/CRD/images/card_no_reflection/citi-thankyou-credit-card-preferred-card.jpg",0.016,240
